fold,real_train_size,synthetic_train_size,real_test_size,train_accuracy,train_macro_f1,test_accuracy,test_macro_f1
1,174,0,44,0.3333333333333333,0.16666666666666666,0.3409090909090909,0.1694915254237288
2,174,0,44,0.3390804597701149,0.1688125894134478,0.3181818181818182,0.16091954022988506
3,174,0,44,0.3390804597701149,0.1688125894134478,0.3181818181818182,0.16091954022988506
4,175,0,43,0.33714285714285713,0.16809116809116809,0.32558139534883723,0.16374269005847952
5,175,0,43,0.33714285714285713,0.16809116809116809,0.32558139534883723,0.16374269005847952
