model,pooled_test_accuracy,fold_accuracy_mean,fold_accuracy_std,pooled_macro_f1,fold_macro_f1_mean,fold_macro_f1_std,balanced_accuracy,ordinal_mae,severe_error_rate
Majority baseline (real only),0.3256880733944954,0.3256871035940804,0.00927887202901836,0.25723781766119547,0.1637631972000916,0.003499548372713303,0.3242009132420091,1.018348623853211,0.3440366972477064
Ensemble (real only),0.4541284403669725,0.4543340380549683,0.040367887613316784,0.4514550264550265,0.4497341012068943,0.03979418075194941,0.4537037037037037,0.7522935779816514,0.20642201834862386
"Ensemble (+1200 synthetic rf, olr real only)",0.40825688073394495,0.40824524312896404,0.04966122284691486,0.4034070245956551,0.39266623470376605,0.04859807066236385,0.4077879249112126,0.7935779816513762,0.2018348623853211
"Ensemble (+1200 synthetic olr, rf real only)",0.45871559633027525,0.4583509513742072,0.08327954929200232,0.45727054719860477,0.4554338964423941,0.08751978146801181,0.45858701166920346,0.7614678899082569,0.22018348623853212
"Ensemble (+1200 synthetic olr, +1200 synthetic rf)",0.41743119266055045,0.41733615221987314,0.06913351565505556,0.4151542609889772,0.4134273906612137,0.07083261997340146,0.4171740233384069,0.8027522935779816,0.22018348623853212
