,SITE_NAME,PLANNING_CATEGORY,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,CULTURAL_LANDSCAPE,ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,centroid
0,OLD REFINERY PARK,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,09H862,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,"DO NOT DIG OR DISTURB SOIL. IF YOU MUST DISTURB THE AREA CONTACT JEFF SWINGLER AND/OR TRENT PARKS, BOTH WITH ESM. FORMER IMPERIAL OIL REFINERY SITE. SEE REPOSITORY FOR INFO R:\SUBDIVISION_DEVELOPMENT\CAPITAL_PROJECT_APPROVAL_DOCUMENTS\OGDEN\OGD792",ACTIVE,[-114.01855176   51.00592466]
1,FAST FOOD PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ARB399,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.20474085   51.12367962]
2,CONSTABLE SLOPE PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,COL389,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.10788262   51.0843926 ]
3,OUTWEST PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,ING029,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.04223258   51.04325294]
4,FLUOR DANIELS PARK; RENFREW EDUCATIONAL SERVICES; SUNDANCE CENTRE,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SDC033,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,FLUOR DANIEL LEASE;99 YEAR LEASE;THEY MAINTAIN EVERYTHING INCUDING PATHWAY,ACTIVE,[-114.05681435   50.90269336]
5,JOHN HEXTALL PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,BOW214,,CALGARY PARKS SHARED,CALGARY PARKS,SEE REPOSITORY RE NAMING R:\CouncilDecisionsLandRelated\NAMING_OF_PARKS\MON\MON245 & \BOW\BOW214,ACTIVE,[-114.17216341   51.07975843]
6,GAZEBO PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,LPK546,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.13596643   51.01547347]
7,KILLARNEY PARK; KILLARNEY/GLENGARRY PARK DEPOT,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,KIL873,,CALGARY PARKS,CALGARY PARKS,PARKS DEPOT ON SITE,ACTIVE,[-114.12277893   51.03542653]
8,EVAMY RIDGE PARK; MONTESSORI SCHOOL; HOLY ANGELS SCHOOL,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,CLI278,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.07624359   51.0330048 ]
9,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,HKS010,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.90124837   50.91584239]
10,TONY AND RUBY SCHMALTZ PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,BOW200,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-114.18461554   51.0895947 ]
11,PEACEKEPERS PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,GAG558,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.12652684   51.00279187]
12,,DISTRICT PARK,1,TITLED,NO BREAKDOWN,,,BVD007,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.90800331   51.04546276]
13,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SPH010,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.20747671   51.01998794]
14,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SGH052,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-114.13144665   51.17678308]
15,STAMPEDE PATHWAY; SCOTMAN'S HILL,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,RAM415,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.0473233    51.03688516]
16,SANDY BEACH PARK,REGIONAL PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT ALT701,ALT701,,CALGARY PARKS,CALGARY PARKS,"2017/05/09: SEE REPOSITORY FOR MAP SHOWING BOUNDARIES FOR SANDY BEACH, RIVER PARK AND RIVEREDGE",ACTIVE,[-114.09284425   51.0131151 ]
17,VICTORIA CROSS PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CUR001,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.13395502   51.0175721 ]
18,KIWANIS PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ALT643,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.10099032   51.02060565]
19,HIDDEN SLOPES PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,BRD777,,CALGARY PARKS,CALGARY PARKS,2018/09/10: COULD NOT CONFIRM THIS IS THE OFFICIAL NAME,ACTIVE,[-114.05111207   51.05685544]
20,SINGH HARI PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,KIN014,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.0785047    50.98189937]
21,PRESTWICK COMMON,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,MCT834,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-113.96630394   50.92232461]
22,LINDSAY PARK; MNP COMMUNITY AND SPORT CENTRE,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,ERL246,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.06329958   51.03380381]
23,EARL GREY PARK; EARL GREY SCHOOL,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,UMR274,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.07987918   51.02960256]
24,SCENIC ACRES RAVINE,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT SCE352: NEW SITE SCE346,SCE346,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.21910794   51.10798158]
25,SCENIC ACRES ESCARPMENT,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT SCE352,SCE352,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.22041061   51.11042383]
26,CONFEDERATION PARK 3,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,MOP771,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.07645121   51.08087718]
27,VALLEY RIDGE NATURAL AREA,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,VAL711,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.26514166   51.09523199]
28,CLEARWATER PARK,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,2016/11/18 SOUTH END SOLD TO PROVINCE FOR TUC SEE REPOSITORY R:\LAND_TRANSFERS\DIS\DIS101,DIS101,,CALGARY PARKS,CALGARY PARKS SHARED,CONTAINS DRY POND ##### - AT FAC SEE IF WATER HAS CAPUTRED POND AND ADD POND NUMBER IN PLACE OF ####,ACTIVE,[-114.25254319   51.01813671]
29,CALGARY CANADIAN IRISH ATHLETIC CLUB,DISTRICT PARK,1,TITLED,NO BREAKDOWN,,SITE SPLIT MCI091: ADJUSTED SITE MCI092,MCI092,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.01485677   51.0910801 ]
30,MCKENZIE NATURAL AREA,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT MCK718,MCK718,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-113.98951237   50.92166961]
31,PATTERSON HOMESTEAD MEMORIAL PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT MCK718: NEW SITE MCK722,MCK722,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-113.98947535   50.9167458 ]
32,OLIVER QUARRY PARK,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SSW172,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.11300485   51.0410917 ]
33,HENINGER PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,ERL302,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.06058772   51.02333766]
34,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ROC203,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.23485019   51.14909782]
35,LAYCOCK PARK,REGIONAL PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,THO762,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.05323772   51.10537423]
36,VARANGER PARK; CHRISTINE MEIKLE SCHOOL,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,VAR181,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.16155653   51.08479844]
37,LIONS PARK,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,HOU542,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.09957881   51.06443676]
38,WEST DOVER (HOFER MEMORIAL) PARK; GFL 55+ SOCIETY ACTIVITY CENTRE,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,DOV769,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.98549631   51.02962465]
39,TWEED PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,THO706,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.06093927   51.10420689]
40,POETIC PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,DNW129,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.08363343   51.04972979]
41,BOTTOMLANDS PARK,REGIONAL PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,REN890,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.0282975   51.0555477]
42,STANLEY JONES PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,REN787,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.04898489   51.0590674 ]
43,BREWERY TRIANGLE,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,ING018,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.03173437   51.03802283]
44,BUFFALO PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,GAG563,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.12134828   51.00306439]
45,WEASELHEAD FLATS,REGIONAL PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,GPK120,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.15253286   50.99168653]
46,CONNAUGHT PARK; HISTORICALLY KNOWN AS ST STEPHENS KIWANIS PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,BLN004,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.08883547   51.04015705]
47,BOWGLEN PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,BOW174,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.20595747   51.09084227]
48,CAPITOL HILL PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,CAP321,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-114.09602062   51.07098187]
49,BADEN-POWEL PARK,NON-PARK,1,TITLED,NO BREAKDOWN,,,WHL472,,CALGARY PARKS SHARED,LEASEHOLDER,,ACTIVE,[-114.10922249   51.04944703]
50,MARTY WOOD PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,BOW176,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.20401783   51.08686055]
51,BETHANY SLOPE,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,HOU562,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.09895795   51.06201492]
52,MOK'NSTSIS PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,MIS204,,CALGARY PARKS,CALGARY PARKS,R:\CouncilDecisionsLandRelated\NAMING_OF_PARKS\MIS\MIS204,ACTIVE,[-114.06389654   51.02968382]
53,SOUTH TUSCANY RAVINES,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT TUS601: NEW SITE TUS501,TUS501,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.25252315   51.11482729]
54,BIG MARLBOROUGH PARK; DR GLADYS MCKELVIE EGBERT SCHOOL; ROLAND MICHENER ELEM; ST MARTHA SCHOOL,REGIONAL PARK,1,TITLED,NO BREAKDOWN,,,MPK548,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-113.94437591   51.05908772]
55,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT SPH021: NEW SITE SPH043,SPH043,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.20220648   51.02364159]
56,ISLAND PARK,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,RID299,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-114.07415449   51.02843006]
57,GOOSE PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,MIS248,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-114.06930013   51.02947159]
58,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT SPH021: NEW SITE SPH042,SPH042,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.19966278   51.02198304]
59,EGERT'S PARK,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,THO569,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.08018827   51.1020251 ]
60,BABBLING BROOK PARK,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT CAN345,CAN345,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.08036192   50.9392268 ]
61,JACK AND JEAN LESLIE RIVERWALK,REGIONAL PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT CHN113: NEW SITE CHN114 FOR RIVERWALK,CHN114,RIVER VALLEY SYSTEM: SIEN LOK PARK,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-114.05819331   51.05111252]
62,RADAR CORNER PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,EYA347,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.07564157   51.01524701]
63,BIG MEADOWLARK PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,MEA368,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.08070764   50.99785243]
64,BUFFALO RUBBING STONE HISTORIC SITE,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,PAN028,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.07026374   51.15194536]
65,BUTTERFLY PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,MCT829,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-113.97323711   50.92329258]
66,MAPLE LEAF PARK,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,GAW642,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-114.11633773   51.00990681]
67,EDWORTHY PARK,REGIONAL PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SPR050,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.13320021   51.05145062]
68,WOLFE PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,UMR287,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.09230529   51.02855116]
69,CHATHAM PLACE PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CHW383,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.11597195   51.09034656]
70,BONNIE LAING PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,BOW180,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.19976774   51.08742056]
71,FLINT ROAD SLOPE PARK,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,FAI203,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.06733294   50.98493987]
72,HAMPTONS RAVINE,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT HAM187,HAM187,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.16396738   51.14251123]
73,KERRY PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,KIL616,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.13935665   51.02422919]
74,HUMPY HOLLOW PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,BLN009,,CALGARY PARKS,CALGARY PARKS,2024-05-10 SITE UNDER REDEVELOPMENT NO DOCS. ALL ASSETS RETIRED EXCEPT TREES AND VAULTS ON SIDEWALK AREA.,ACTIVE,[-114.06395656   51.03803011]
75,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SHG808,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.11810642   51.04330323]
76,CHRYSLER PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,HOU570,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.1070088    51.06618346]
77,HAWKSTONE FIELD; HAWKWOOD COMMUNITY PARK,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,HAW016,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.16432354   51.13099961]
78,LOOMIS PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,KIN016,,CALGARY PARKS,CALGARY PARKS,SEE REPOSITORY R:\CouncilDecisionsLandRelated\NAMING_OF_PARKS\KIN\KIN016 FOR NAMING OF THE PARK,ACTIVE,[-114.07913754   50.99251756]
79,PEIGAN TRAIL WETLANDS,DISTRICT PARK,1,TITLED,NO BREAKDOWN,,2016/09/20: OPF HAS NOT BEEN OFFICIALLY CREATED; WHEN IT IS THIS SITE MAY HAVE TO BE MODIFIED IN SIZE & CHANGE CPID ETC; CALGARY PARKS IS THE STEWARD FOR THIS PORTION OF THE SECTION; THAT IS WHY STEWARD HAS BEEN CAPTURED AT PARKS.,STD002,,CALGARY PARKS,CALGARY PARKS,"2017/02/14: CHANGED FROM REGIONAL TO SPECIAL PURPOSE AS PER A CHARLTON; 2016/09/20:  FAC DT=ASSET OWNER EVENT; TI PURCHASED FROM RE&DS, THEN TI TRANSFERRED TO PARKS; SEE REPOSITORY R:\LAND_TRANSFERS\10B\10B001 - PEIGIAN TR WETLANDS",ACTIVE,[-113.94072621   51.01162039]
80,NOSE HILL PARK,REGIONAL PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,NPK454,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.10499306   51.11811289]
81,MERRILL PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,WIN803,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.04934114   51.0812489 ]
82,MILLS PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,ING013,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.02833372   51.03913536]
83,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,BOW204,,CALGARY PARKS,CALGARY PARKS,PARKS DEPOT ON SITE,ACTIVE,[-114.18693788   51.08833243]
84,HIDDEN HUT PARK,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,HID539,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.10171814   51.15049347]
85,JAMES GRAY PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,PAT822,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.17391919   51.06394081]
86,ROTARY PARK,REGIONAL PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,CRE876,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-114.06138663   51.05673697]
87,PAGET PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,DNC103,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.05944048   51.04657486]
88,MAHOGANY WETLANDS,DISTRICT PARK,1,TITLED,NO BREAKDOWN,,SITE SPLIT MAH002: NEW SITE MAH050,MAH050,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-113.91809453   50.89959837]
89,G. MAX BELL PARK; MAX BELL ARENA; WESTERN IRRIGATION DISTRICT (WID),DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,ALB635,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,WID CANAL MAINTENANCE AGREEMENT SITE - EXPIRES 2042/05/31; SEE REPOSITORY FOR AGREEMENT R:\AGREEMENTS\PROVINCIAL_CITY_MAINTENANCE\WID CANAL AGREEMENT,ACTIVE,[-114.00357447   51.04103957]
90,LEVIS PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,UMR290,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.08974142   51.02456933]
91,POP DAVIES ATHLETIC PARK,ATHLETIC PARK,1,TITLED,NO BREAKDOWN,,,OGD809,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,"DO NOT DIG OR DISTURB SOIL. IF YOU MUST DISTURB THE AREA CONTACT JEFF SWINGLER AND/OR TRENT PARKS, BOTH WITH ESM. FORMER IMPERIAL OIL REFINERY SITE. SEE REPOSITORY FOR INFO R:\SUBDIVISION_DEVELOPMENT\CAPITAL_PROJECT_APPROVAL_DOCUMENTS\OGDEN\OGD792",ACTIVE,[-114.00829326   50.99765849]
92,CARDSTON PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,COL392,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.10884773   51.08234917]
93,MCHUGH BLUFF,REGIONAL PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SSD560,RIVER VALLEY SYSTEM: MCHUGH BLUFF,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.07197272   51.06043692]
94,INGLEWOOD CORRIDOR,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT ING999: NEW SITE ING997,ING997,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,PROVINCIALLY DESIGNATED HERITAG SITE FOR COLONEL WALKER HOUSE,ACTIVE,[-114.01388548   51.03498337]
95,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ALP003,245 ALPINE BV SW,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.14733236   50.91807914]
96,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,MAH022,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-113.93425879   50.89276383]
97,PATTON PARK,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,PUM045,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.09644055   50.96566042]
98,CENTRAL DALHOUSIE COULEE; ST DOMINIC ELEM,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,DAL086,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.15334051   51.11008679]
