,SITE_NAME,PLANNING_CATEGORY,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,CULTURAL_LANDSCAPE,ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,centroid
1375,,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,DRG546,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.01441174   50.92495893]
1376,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SOM655,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.0812897    50.90159024]
1377,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,RCK757,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.146798     51.04530323]
1378,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,REN783,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.03107327   51.05701944]
1379,CAPPY SMART ELEM,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,MPK544,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.94457549   51.06420955]
1380,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,MPL151,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.03795844   50.95060083]
1381,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,PAL041,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.11293036   50.96686096]
1382,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SCE430,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.22616401   51.12737043]
1383,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SIG730,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.1778148    51.01740421]
1384,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,HAR850,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.061867     51.14281713]
1385,,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,MNI110,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.04910131   51.00698681]
1386,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,WSP004,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-114.20808102   51.06172483]
1387,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,PUM028,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.10217269   50.9622115 ]
1388,MEMORIAL DRIVE PATHWAY; POINT MCKAY,REGIONAL PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,POI503,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.14836169   51.06022468]
1389,,LINEAR PARK,1,TITLED,NO BREAKDOWN,,,CNS016,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.92939854   51.14730381]
1390,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,WSP029,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.2169154    51.05514451]
