,Project #,OriginalAddress,AppliedDate,Applied Year,CompletedDate,Year Completed,PermitClassGroup,Applicant / Contractor Name,ApplicantName,ContractorName,HousingUnits,EstProjectCost,CommunityName,CommunityCode,Initial Assessment,Final Assessment,AssessmentDifference,Income,Coordinates,Distance To Downtown,Distance To Nearest Transit Stop,Cost Per Unit,Distance to Nearest Park,Distance to Nearest Public Schhol,downtown
32,168,#1 908 36 ST SE,2018-11-06,2018,2019-10-25,2019,Townhouse,APLIN MARTIN CONSULTANTS,APLIN MARTIN CONSULTANTS,0,15,771962,FOREST LAWN,FLN,967500,2160000,1192500,66500.0,"[-113.9813485, 51.0449652]",,,"51,464.13",,,6.329295996970512
33,181,2002 26A ST SW,2018-03-16,2018,2019-01-08,2019,Townhouse,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,0,4,1001326,KILLARNEY/GLENGARRY,KIL,1067500,2267000,1199500,87000.0,"[-114.1246486, 51.03614871]",,,"250,331.50",,,3.8106589735447574
34,185,1050 1 AV NE,2021-08-31,2021,2023-03-29,2023,Townhouse,YOUR PROPERTY,YOUR PROPERTY,YOUR PROPERTY,4,1167258,BRIDGELAND/RIVERSIDE,BRD,1118000,2343318,1225318,65500.0,"[-114.0384672, 51.05334778]",,,"291,814.50",,,2.5246665616435453
35,218,523 8 ST NE,2019-08-16,2019,2020-10-14,2020,Unspecified,BERESINA HOMES,BERESINA HOMES,0,3,900000,BRIDGELAND/RIVERSIDE,BRD,501500,1758500,1257000,65500.0,"[-114.0435687, 51.0570093]",,,"300,000.00",,,2.404282511650241
36,91,2841 36 ST SW,2018-09-12,2018,2020-09-15,2020,Townhouse,MILLENIUM PLUS HOMES RENOVATION,MILLENIUM PLUS HOMES RENOVATION,0,4,772375,KILLARNEY/GLENGARRY,KIL,590500,1848500,1258000,87000.0,"[-114.1399158, 51.02871038]",,,"193,093.75",,,5.079675595991063
37,88,1101 8 AV NE,2018-10-10,2018,2019-11-04,2019,Townhouse,JOHN TRINH & ASSOCIATES,JOHN TRINH & ASSOCIATES,0,4,740007,RENFREW,REN,516500,1795500,1279000,71500.0,"[-114.0362621, 51.05950644]",,,"185,001.75",,,2.9829427359713905
38,82,9021 46 ST NE,2018-02-16,2018,2019-10-08,2019,Unspecified,HOMES BY AVI (CANADA),HOMES BY AVI (CANADA),HOMES BY AVI (CANADA),13,2087483,SADDLE RIDGE,SAD,2745000,4057000,1312000,88000.0,"[-113.9660505, 51.134362470000006]",,,"160,575.62",,,12.40819972845001
39,222,2808 ERLTON ST SW,2019-11-04,2019,2020-11-13,2020,Townhouse,SHEMSHO CONSTRUCTION,0,SHEMSHO CONSTRUCTION,4,852257,ERLTON,ERL,609500,1926000,1316500,68500.0,"[-114.0620188, 51.0285844]",,,"213,064.25",,,1.9235671178188933
40,195,#1 338 3 AV NE,2019-08-17,2019,2020-11-16,2020,Unspecified,MILLENIUM PLUS HOMES RENOVATION,MILLENIUM PLUS HOMES RENOVATION,925357 ALBERTA,4,780399,CRESCENT HEIGHTS,CRE,629000,1951500,1322500,71500.0,"[-114.0556049, 51.05539054]",,,"195,099.75",,,1.64289856672884
41,95,3311 33 ST SW,2019-01-08,2019,2020-01-29,2020,Unspecified,SARINA DEVELOPMENTS,SARINA DEVELOPMENTS,0,4,774900,KILLARNEY/GLENGARRY,KIL,698000,2032000,1334000,87000.0,"[-114.135087, 51.02470663]",,,"193,725.00",,,4.948846259295344
42,165,2836 4 ST NW,2018-09-12,2018,2019-09-17,2019,Unspecified,EAGLE CREST CONSTRUCTION,EAGLE CREST CONSTRUCTION,EAGLE CREST CONSTRUCTION,3,816631,MOUNT PLEASANT,MOP,543000,1879000,1336000,78000.0,"[-114.0712567, 51.07773493]",,,"272,210.33",,,3.669902231499882
43,197,#2 4506 17 AV NW,2019-05-02,2019,2020-06-23,2020,Townhouse,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,4,802100,MONTGOMERY,MON,414000,1785000,1371000,71500.0,"[-114.1584414, 51.06985072]",,,"200,525.00",,,6.663234578234949
44,43,1855 12 ST NW,2020-01-24,2020,2021-02-02,2021,Unspecified,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,4,894279,CAPITOL HILL,CAP,598000,1974000,1376000,71500.0,"[-114.0899619, 51.06835927]",,,"223,569.75",,,2.915187889952829
45,154,1104 40 ST SW,2018-12-24,2018,2021-01-07,2021,Unspecified,0,0,0,4,715000,ROSSCARROCK,RCK,503000,1898500,1395500,71000.0,"[-114.1452992, 51.04313237]",,,"178,750.00",,,5.135681845177148
46,184,2307 1 ST NW,2020-06-19,2020,2021-06-18,2021,Unspecified,MAXVIEW HOMES,0,MAXVIEW HOMES,4,893997,TUXEDO PARK,TUX,533500,1933000,1399500,70500.0,"[-114.0641527, 51.07282169]",,,"223,499.25",,,3.1696960119674036
