,Project #,OriginalAddress,AppliedDate,Applied Year,CompletedDate,Year Completed,PermitClassGroup,Applicant / Contractor Name,ApplicantName,ContractorName,HousingUnits,EstProjectCost,CommunityName,CommunityCode,Initial Assessment,Final Assessment,AssessmentDifference,Income,Coordinates,Distance To Downtown,Distance To Nearest Transit Stop,Cost Per Unit,Distance to Nearest Park,Distance to Nearest Public Schhol,downtown
91,131,2202 24A ST SW,2021-03-01,2021,2023-04-04,2023,Townhouse,MARKO CILIC,MARKO CILIC,MARKO CILIC,3,1068984,RICHMOND,RIC,506500,2378500,1872000,95000.0,"[-114.1187765, 51.03461308]",,,"356,328.00",,,3.466404095793695
92,9,179 DIEPPE DR SW,2022-09-15,2022,2023-12-01,2023,Townhouse,ANTHEM CURRIE DEVELOPMENTS II,ANTHEM CURRIE DEVELOPMENTS II,ANTHEM CURRIE DEVELOPMENTS II,5,1061911,CURRIE BARRACKS,CUR,1460000,3344000,1884000,,"[-114.1266659, 51.01788383]",,,"212,382.20",,,4.856907897090411
93,148,96 23 ST NW,2019-03-28,2019,2020-06-24,2020,Townhouse,0,0,0,4,839384,WEST HILLHURST,WHL,474000,2358000,1884000,93000.0,"[-114.1152285, 51.05218708]",,,"209,846.00",,,3.1413443698443766
94,54,1750 50 AV SW,2018-05-24,2018,2019-10-09,2019,Townhouse,RNDSQR CONSTRUCTION,RNDSQR CONSTRUCTION,0,4,948049,ALTADORE,ALT,649000,2559500,1910500,95000.0,"[-114.1031777, 51.00883174]",,,"237,012.25",,,4.552656386180083
95,220,2242 26A ST SW,2018-06-27,2018,2019-04-24,2019,Townhouse,URBAN INDIGO FINE HOMES,URBAN INDIGO FINE HOMES,0,4,1000000,KILLARNEY/GLENGARRY,KIL,575000,2488500,1913500,87000.0,"[-114.1250098, 51.0333615]",,,"250,000.00",,,3.923855791455122
96,104,3103 KILDARE CR SW,2021-05-21,2021,2022-06-28,2022,Unspecified,JERRY HOMES,0,JERRY HOMES,4,887942,KILLARNEY/GLENGARRY,KIL,572000,2486500,1914500,87000.0,"[-114.1403455, 51.02684449]",,,"221,985.50",,,5.183930187096151
97,182,1822 38 AV SW,2019-08-22,2019,2021-03-04,2021,Unspecified,WILLIX DEVELOPMENTS,WILLIX DEVELOPMENTS,WILLIX DEVELOPMENTS,4,882900,ALTADORE,ALT,684500,2614500,1930000,95000.0,"[-114.1035811, 51.02035629]",,,"220,725.00",,,3.501499780181338
98,189,4656B 85 ST NW,2022-02-16,2022,2023-09-07,2023,Townhouse,OPTIMA DEVELOPMENTS,OPTIMA DEVELOPMENTS,OPTIMA DEVELOPMENTS,4,868048,BOWNESS,BOW,347500,2300000,1952500,63200.0,"[-114.2103399, 51.0939736]",,,"217,012.00",,,11.116288392078179
99,31,1938 BOWNESS RD NW,2018-09-18,2018,2020-01-13,2020,Townhouse,RNDSQR CONSTRUCTION,RNDSQR CONSTRUCTION,0,4,883100,WEST HILLHURST,WHL,624000,2585000,1961000,93000.0,"[-114.1053767, 51.0513873]",,,"220,775.00",,,2.4554956724142967
100,83,2646 21 AV SW,2021-08-03,2021,2022-09-14,2022,Unspecified,SUNDER CUSTOM HOMES,0,SUNDER CUSTOM HOMES,4,856201,RICHMOND,RIC,633000,2606000,1973000,95000.0,"[-114.1216404, 51.0348169]",,,"214,050.25",,,3.649455391640616
101,157,1703 48 AV SW,2018-03-29,2018,2019-02-06,2019,Townhouse,RNDSQR,RNDSQR,RNDSQR CONSTRUCTION,4,860520,ALTADORE,ALT,703000,2689000,1986000,95000.0,"[-114.1007915, 51.01049694]",,,"215,130.00",,,4.310431075159979
102,171,#1 913 38 ST SW,2022-09-27,2022,2023-09-22,2023,Townhouse,QAA DESIGNS,QAA DESIGNS,INVESTA CUSTOM HOMES,4,708885,ROSSCARROCK,RCK,432500,2422000,1989500,71000.0,"[-114.1427665, 51.04459894]",,,"177,221.25",,,4.9554767739798065
103,210,2401 32 AV SW,2018-03-09,2018,2019-01-14,2019,Unspecified,BMP CONSTRUCTION MANAGEMENT,BMP CONSTRUCTION MANAGEMENT,0,4,924593,RICHMOND,RIC,516500,2507500,1991000,95000.0,"[-114.1146915, 51.02478236]",,,"231,148.25",,,3.7258135133014014
104,191,#3 1536 29 AV SW,2022-03-08,2022,2023-07-18,2023,Townhouse,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,4,1289814,SOUTH CALGARY,SOC,661500,2666500,2005000,95000.0,"[-114.0966812, 51.02779063]",,,"322,453.50",,,2.560415681554779
105,125,2404 28 AV SW,2018-06-28,2018,2020-10-27,2020,Unspecified,SAVILLE HOMES,SAVILLE HOMES,SAVILLE HOMES,8,2340196,RICHMOND,RIC,1369000,3374500,2005500,95000.0,"[-114.1145461, 51.02871778]",,,"292,524.50",,,3.4742046105037487
106,169,#1 1616 15 AV SW,2017-03-28,2017,2018-01-19,2018,Apartment,RNDSQR,RNDSQR,0,4,815400,SUNALTA,SNA,641000,2684000,2043000,61200.0,"[-114.0978888, 51.0396712]",,,"203,850.00",,,1.9032846526481055
107,133,#1 1818 5 ST SW,2018-02-14,2018,2019-05-17,2019,Townhouse,BMP CONSTRUCTION MANAGEMENT,BMP CONSTRUCTION MANAGEMENT,0,4,1144118,CLIFF BUNGALOW,CLI,984000,3092500,2108500,57600.0,"[-114.0740085, 51.03641649]",,,"286,029.50",,,0.9366291931404126
108,2,#21 1710 28 AV SW,2020-12-22,2020,2022-02-14,2022,Unspecified,TRICO HOMES,0,TRICO HOMES,6,1403443,SOUTH CALGARY,SOC,1620000,3738000,2118000,95000.0,"[-114.1004774, 51.02869701]",,,"233,907.17",,,2.6790005952170444
109,76,4007 8 AV SW,2018-07-18,2018,2019-09-20,2019,Townhouse,WEST RIDGE FINE HOMES,WEST RIDGE FINE HOMES,0,4,830000,ROSSCARROCK,RCK,493500,2659000,2165500,71000.0,"[-114.144201, 51.04490471]",,,"207,500.00",,,5.0557594476378425
110,161,1743B 33 AV SW,2020-12-26,2020,2023-10-12,2023,Unspecified,SINCLAIR SIGNATURE HOMES,SINCLAIR SIGNATURE HOMES,SINCLAIR SIGNATURE HOMES,8,2430112,SOUTH CALGARY,SOC,1153000,3330000,2177000,95000.0,"[-114.10206615, 51.0235872]",,,"303,764.00",,,3.159624598516009
111,140,#1 307 2 AV NE,2017-08-14,2017,2018-10-23,2018,Townhouse,MILLENIUM PLUS HOMES RENOVATION,MILLENIUM PLUS HOMES RENOVATION,MILLENIUM PLUS HOMES RENOVATION,6,1159173,CRESCENT HEIGHTS,CRE,942000,3140000,2198000,71500.0,"[-114.0571717, 51.05426157]",,,"193,195.50",,,1.476521874127055
112,194,1807 50 ST NW,2021-11-05,2021,2023-01-11,2023,Townhouse,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,4,902493,MONTGOMERY,MON,405500,2616500,2211000,71500.0,"[-114.1660115, 51.07597119]",,,"225,623.25",,,7.439028470953236
113,173,204B 12 AV NE,2022-04-01,2022,2023-04-14,2023,Townhouse,JOHN TRINH & ASSOCIATES,JOHN TRINH & ASSOCIATES,PARAMOUNT HOMES CONSTRUCTION,4,797367,CRESCENT HEIGHTS,CRE,487000,2700000,2213000,71500.0,"[-114.0597605, 51.06373094]",,,"199,341.75",,,2.276061766538395
114,27,2002 6 AV NW,2019-06-17,2019,2020-12-22,2020,Unspecified,0,0,0,6,1303747,WEST HILLHURST,WHL,576500,2800000,2223500,93000.0,"[-114.10593775000001, 51.058149310000005]",,,"217,291.17",,,2.809247274537942
115,72,206 SHERWOOD LN NW,2017-09-05,2017,2019-04-11,2019,Townhouse,GABLECRAFT HOMES,GABLECRAFT HOMES,EXCEL HOMES LIMITED PARTNERSHIP,11,1818675,SHERWOOD,SHW,1065000,3292500,2227500,102000.0,"[-114.14757130000001, 51.160610774999995]",,,"165,334.09",,,13.926673613478394
116,109,2141B 26 AV SW,2022-02-08,2022,2023-01-27,2023,Townhouse,OPTIMA DEVELOPMENTS,OPTIMA DEVELOPMENTS,OPTIMA DEVELOPMENTS,4,1247180,RICHMOND,RIC,543500,2840000,2296500,95000.0,"[-114.1117208, 51.03002178]",,,"311,795.00",,,3.2303064316917416
117,170,2104 RICHMOND RD SW,2017-08-30,2017,2018-08-28,2018,Townhouse,SARINA DEVELOPMENTS,SARINA DEVELOPMENTS,SARINA DEVELOPMENTS,5,944080,RICHMOND,RIC,577000,2880000,2303000,95000.0,"[-114.1109906, 51.03512416]",,,"188,816.00",,,2.9356299378955333
118,51,253 SETON CI SE,2018-02-28,2018,2018-10-24,2018,Unspecified,JAYMAN BUILT,JAYMAN BUILT,JAYMAN BUILT,16,2856956,SETON,SET,3680000,5986500,2306500,,"[-113.957077075, 50.8701126125]",,,"178,559.75",,,21.016135712735373
119,40,#1 129 SKYVIEW PR NE,2018-03-29,2018,2020-07-13,2020,Townhouse,SKYVIEW EDGE,SKYVIEW EDGE,SKYVIEW EDGE,24,4791800,SKYVIEW RANCH,SKR,4170000,6509500,2339500,88000.0,"[-113.95624135, 51.155982895]",,,"199,658.33",,,14.772594820644631
120,92,2707 2 ST NW,2022-06-23,2022,2023-11-28,2023,Townhouse,YOUR PROPERTY,YOUR PROPERTY,YOUR PROPERTY,4,797115,MOUNT PLEASANT,MOP,519000,2896000,2377000,78000.0,"[-114.0676397, 51.07644706]",,,"199,278.75",,,3.5388836303590376
121,135,5110 20 ST SW,2019-05-07,2019,2020-12-08,2020,Unspecified,RIVERVIEW CUSTOM HOMES,RIVERVIEW CUSTOM HOMES,0,5,441232,NORTH GLENMORE PARK,NGM,762500,3141500,2379000,97000.0,"[-114.1090274, 51.00851628]",,,"88,246.40",,,4.792304929653129
122,84,3860 202 AV SE,2020-10-08,2020,2023-07-12,2023,Townhouse,JAYMAN BUILT,0,JAYMAN BUILT,7,1399753,SETON,SET,973500,3369000,2395500,,"[-113.94841615, 50.867281745]",,,"199,964.71",,,21.543666625192625
123,20,739 SAVANNA LD NE,2020-06-01,2020,2021-01-26,2021,Unspecified,TRUMAN HOMES 1995,TRUMAN HOMES 1995,TRUMAN HOMES 1995,13,2503316,SADDLE RIDGE,SAD,1618000,4021000,2403000,88000.0,"[-113.9661188, 51.13757926666667]",,,"192,562.77",,,12.694362183170327
124,121,#1 2412 17A ST SW,2017-07-06,2017,2018-10-30,2018,Townhouse,CUBIT DESIGN GROUP,CUBIT DESIGN GROUP,MJ HOMES,4,793802,BANKVIEW,BNK,538000,2948500,2410500,48800.0,"[-114.1032493, 51.03278044]",,,"198,450.50",,,2.564387803340945
125,202,3719 16 ST SW,2022-02-01,2022,2023-06-13,2023,Apartment,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,4,1459501,ALTADORE,ALT,694500,3115000,2420500,95000.0,"[-114.1006704, 51.021532]",,,"364,875.25",,,3.2722872713830244
126,177,2183 49 AV SW,2021-05-18,2021,2022-05-04,2022,Unspecified,PROFESSIONAL CUSTOM HOMES,PROFESSIONAL CUSTOM HOMES,0,5,1573958,ALTADORE,ALT,721000,3167500,2446500,95000.0,"[-114.1115264, 51.00983992]",,,"314,791.60",,,4.7687282735812895
127,100,#1 1722 32 ST SW,2019-05-13,2019,2020-05-20,2020,Townhouse,TRICOR DESIGNS,TRICOR DESIGNS,0,8,1475480,SHAGANAPPI,SHG,1203000,3654500,2451500,71000.0,"[-114.13388330000001, 51.038864634999996]",,,"184,435.00",,,4.383540402707746
128,134,2717B 28 AV SW,2019-10-03,2019,2021-09-07,2021,Unspecified,FORMED ALLIANCE ARCHITECTURE STUDIO,FORMED ALLIANCE ARCHITECTURE STUDIO,KALAMOIR,8,2149223,KILLARNEY/GLENGARRY,KIL,1274500,3748000,2473500,87000.0,"[-114.12589495, 51.02840045]",,,"268,652.88",,,4.190603314376083
129,89,51 SAVANNA PA NE,2018-07-31,2018,2019-04-30,2019,Unspecified,HOMES BY AVI (CANADA),HOMES BY AVI (CANADA),HOMES BY AVI (CANADA),11,1679505,SADDLE RIDGE,SAD,1118000,3601500,2483500,88000.0,"[-113.9673325, 51.135009339999996]",,,"152,682.27",,,12.41313619797514
130,152,4 CREEKSIDE BV SW,2021-11-03,2021,2023-10-19,2023,Townhouse,GRAVITY ARCHITECTURE,GRAVITY ARCHITECTURE,STREETSIDE DEVELOPMENT,6,1319086,PINE CREEK,PCK,573000,3094500,2521500,,"[-114.0591041, 50.86287982]",,,"219,847.67",,,20.240992615063714
131,192,1809B 19 ST NW,2021-01-04,2021,2022-06-24,2022,Unspecified,DISTRICT HOMES / ELECTRIM DEVELOPMENT,DISTRICT HOMES / ELECTRIM DEVELOPMENT,DISTRICT HOMES / ELECTRIM DEVELOPMENT,4,1060836,BANFF TRAIL,BNF,1119500,3712500,2593000,71500.0,"[-114.1064631, 51.06824203]",,,"265,209.00",,,3.560148172001953
132,98,2787 19 AV SW,2017-07-25,2017,2020-12-31,2020,Unspecified,0,0,0,7,1393421,KILLARNEY/GLENGARRY,KIL,1000500,3647500,2647000,87000.0,"[-114.12622065, 51.036237485]",,,"199,060.14",,,3.9147662242165335
133,10,10 YORKVILLE RD SW,2021-05-26,2021,2022-06-21,2022,Unspecified,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,8,1458451,YORKVILLE,YKV,703000,3397000,2694000,,"[-114.077594, 50.8747358]",,,"182,306.38",,,18.907094667548467
134,44,1304 19 AV NW,2018-02-22,2018,2019-09-10,2019,Townhouse,SYSTEMIC ARCHITECTURE,SYSTEMIC ARCHITECTURE,HOMES BY SORENSEN,8,1609483,CAPITOL HILL,CAP,1101500,3952500,2851000,71500.0,"[-114.08974470000001, 51.069640469999996]",,,"201,185.38",,,3.037922660016676
135,112,1705 42 AV SW,2019-12-02,2019,2020-09-29,2020,Unspecified,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,0,6,2157772,ALTADORE,ALT,802500,3727000,2924500,95000.0,"[-114.1011421, 51.01593995]",,,"359,628.67",,,3.7996372556651266
136,212,2100 17A ST SW,2019-06-17,2019,2021-03-25,2021,Unspecified,ALDEBARAN ENTERPRISES,ALDEBARAN ENTERPRISES,0,6,1750862,BANKVIEW,BNK,1902000,4878500,2976500,48800.0,"[-114.102732, 51.0363678]",,,"291,810.33",,,2.348867522773587
137,103,#4 232 20 AV NE,2020-05-08,2020,2021-12-31,2021,Apartment,HEIRLOOM HOMES,HEIRLOOM HOMES,HEIRLOOM HOMES,4,501395,TUXEDO PARK,TUX,299000,3315000,3016000,70500.0,"[-114.0581394, 51.07073923]",,,"125,348.75",,,3.0471127440028387
138,6,#1 2114 4 AV NW,2018-10-16,2018,2020-09-11,2020,Townhouse,SINCLAIR SIGNATURE HOMES,SINCLAIR SIGNATURE HOMES,SINCLAIR SIGNATURE HOMES,15,3924823,Undefined,UND,2580000,5643000,3063000,,"[-114.10846683333334, 51.056866706666675]",,,"261,654.87",,,2.891322993519467
139,114,1757 45 ST NW,2020-01-31,2020,2022-04-20,2022,Townhouse,CAMBRIDGE HOMES,CAMBRIDGE HOMES,CAMBRIDGE HOMES,8,1943085,MONTGOMERY,MON,940500,4080000,3139500,71500.0,"[-114.16044555, 51.070985185]",,,"242,885.63",,,6.843442218187331
140,64,4102 19 ST SW,2021-02-16,2021,2023-07-27,2023,Unspecified,PE COMFORT HOMES,0,PE COMFORT HOMES,8,2090043,ALTADORE,ALT,1336000,4478500,3142500,95000.0,"[-114.10566125, 51.01811822]",,,"261,255.38",,,3.7865339316138904
141,130,196 LIVINGSTON VW NE,2020-03-12,2020,2021-03-23,2021,Unspecified,HOMES BY AVI (CANADA),0,HOMES BY AVI (CANADA),18,3171905,LIVINGSTON,LIV,1680500,4896500,3216000,,"[-114.067554925, 51.1899992125]",,,"176,216.94",,,16.15570193691419
142,132,2826 15 ST SW,2018-12-13,2018,2021-02-12,2021,Townhouse,TARAPOINT CONSTRUCTION MANAGEMENT,TARAPOINT CONSTRUCTION MANAGEMENT,0,9,1876457,SOUTH CALGARY,SOC,1592000,4824000,3232000,95000.0,"[-114.09646985, 51.028710204999996]",,,"208,495.22",,,2.4758482990799147
143,33,#1 134 22 AV NE,2017-11-14,2017,2019-06-11,2019,Apartment,CHANDAN HOMES,CHANDAN HOMES,0,8,1366934,TUXEDO PARK,TUX,718000,3985500,3267500,70500.0,"[-114.0603255, 51.07255853]",,,"170,866.75",,,3.1977502611907935
144,52,301 KINCORA GLEN RD NW,2018-09-24,2018,2020-07-30,2020,Townhouse,CARLISLE DEVELOPMENTS,CARLISLE DEVELOPMENTS,0,18,2814188,KINCORA,KCA,2307500,5605500,3298000,102000.0,"[-114.14290820000001, 51.16542297666666]",,,"156,343.78",,,14.306994694807655
145,105,#1 643 3 AV NW,2018-02-26,2018,2020-07-30,2020,Apartment,CLEM LAU ARCHITECTS & DESIGNERS,CLEM LAU ARCHITECTS & DESIGNERS,0,4,972742,SUNNYSIDE,SSD,830000,4178000,3348000,71500.0,"[-114.0775596, 51.05943689]",,,"243,185.50",,,1.6824458197191712
146,42,#1 1926 25A ST SW,2017-11-23,2017,2019-03-26,2019,Townhouse,JAYKAY HOMES,JAYKAY HOMES,JAYKAY HOMES,8,1924636,RICHMOND,RIC,1041500,4479500,3438000,95000.0,"[-114.12209655, 51.036704869999994]",,,"240,579.50",,,3.622437990973445
147,137,55 WALGROVE PZ SE,2017-12-15,2017,2020-08-20,2020,Townhouse,CARDEL LIFESTYLES,CARDEL LIFESTYLES,CARDEL LIFESTYLES,20,5136902,WALDEN,WAL,2189000,5657000,3468000,95000.0,"[-114.02525966666667, 50.86539277]",,,"256,845.10",,,20.207397439458447
148,108,25 SAVANNA MR NE,2022-09-15,2022,2023-07-10,2023,Townhouse,HOMES BY AVI (CANADA),0,HOMES BY AVI (CANADA),10,1564653,SADDLE RIDGE,SAD,1128000,4675000,3547000,88000.0,"[-113.9533993, 51.136896925]",,,"156,465.30",,,13.171917707331133
149,59,1511 24 AV SW,2020-01-21,2020,2021-10-05,2021,Unspecified,SHEMSHO CONSTRUCTION,0,SHEMSHO CONSTRUCTION,8,1920083,BANKVIEW,BNK,1038000,4600000,3562000,48800.0,"[-114.09667909999999, 51.03179943]",,,"240,010.38",,,2.252579150781769
150,146,#1 721 1 AV NW,2019-04-12,2019,2022-06-20,2022,Apartment,K5 DESIGNS,K5 DESIGNS,0,8,2326474,SUNNYSIDE,SSD,1588000,5252000,3664000,71500.0,"[-114.0773524, 51.057274995]",,,"290,809.25",,,1.4460493873230915
151,53,#1 1714 KENSINGTON RD NW,2017-06-01,2017,2019-03-19,2019,Apartment,STEALTH HOMES,STEALTH HOMES,0,8,2090263,HILLHURST,HIL,1439500,5126000,3686500,93000.0,"[-114.09843269999999, 51.05262495]",,,"261,282.88",,,2.0529265411975635
152,19,2605 26 AV SW,2017-12-05,2017,2019-05-22,2019,Townhouse,JOHN TRINH & ASSOCIATES,JOHN TRINH & ASSOCIATES,0,7,1993202,RICHMOND,RIC,885000,4601000,3716000,95000.0,"[-114.12131405, 51.02995378]",,,"284,743.14",,,3.8270698345275216
153,155,3902 15A ST SW,2018-03-06,2018,2019-04-04,2019,Unspecified,RANGER HOMES,RANGER HOMES,0,6,2209358,ALTADORE,ALT,565000,4324000,3759000,95000.0,"[-114.0988577, 51.01995135]",,,"368,226.33",,,3.3393839980527535
154,69,#2 6324 BOWWOOD DR NW,2017-10-06,2017,2019-04-15,2019,Townhouse,HABITAT FOR HUMANITY,HABITAT FOR HUMANITY,0,10,2904640,BOWNESS,BOW,932500,4729500,3797000,63200.0,"[-114.1801533, 51.08478712]",,,"290,464.00",,,8.779461076952492
155,117,#1 4411 17 AV NW,2020-07-28,2020,2023-06-20,2023,Townhouse,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,0,8,2962182,MONTGOMERY,MON,810500,4642000,3831500,71500.0,"[-114.157374, 51.068883525000004]",,,"370,272.75",,,6.550816665450579
156,47,1219 LIVINGSTON WY NE,2017-03-15,2017,2018-01-17,2018,Townhouse,HOMES BY AVI (CANADA),HOMES BY AVI (CANADA),HOMES BY AVI (CANADA),14,2934196,LIVINGSTON,LIV,1422500,5258500,3836000,,"[-114.06667136666665, 51.18583607666667]",,,"209,585.43",,,15.694173826517654
157,71,2007B 22 AV NW,2020-06-03,2020,2021-12-23,2021,Unspecified,FORMED ALLIANCE ARCHITECTURE STUDIO,FORMED ALLIANCE ARCHITECTURE STUDIO,EAGLE CREST CONSTRUCTION,7,1508164,BANFF TRAIL,BNF,597500,4480000,3882500,71500.0,"[-114.1064614, 51.07195028]",,,"215,452.00",,,3.872907082684048
158,183,2305 19 ST NW,2018-01-17,2018,2018-12-05,2018,Townhouse,STONE WEST HOMES,STONE WEST HOMES,0,4,789959,BANFF TRAIL,BNF,1107500,5038500,3931000,71500.0,"[-114.1064745, 51.07272788]",,,"197,489.75",,,3.941392302851096
159,5,#127 8535 19 AV SE,2022-06-23,2022,2023-12-11,2023,Townhouse,MINTO COMMUNITIES,MINTO COMMUNITIES,MINTO COMMUNITIES,11,2313589,BELVEDERE,BVD,2214450,6190000,3975550,,"[-113.9100963, 51.03562324]",,,"210,326.27",,,11.356865529625093
160,110,5109 19 ST SW,2021-11-19,2021,2023-07-19,2023,Townhouse,APARTMENT BUILDING,APARTMENT BUILDING,TAMSON DEVELOPMENTS,7,1957955,NORTH GLENMORE PARK,NGM,815500,4862500,4047000,97000.0,"[-114.1066379, 51.00858142]",,,"279,707.86",,,4.6976130366696385
161,142,1701 31 AV SW,2020-08-26,2020,2022-01-27,2022,Unspecified,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,7,1675545,SOUTH CALGARY,SOC,627500,4712500,4085000,95000.0,"[-114.0997828, 51.02543881]",,,"239,363.57",,,2.899786745791057
162,45,103 CRANBROOK WK SE,2017-08-03,2017,2018-10-24,2018,Townhouse,BROOKFIELD RESIDENTIAL (ALBERTA),BROOKFIELD RESIDENTIAL (ALBERTA),BROOKFIELD RESIDENTIAL (ALBERTA),10,1483998,CRANSTON,CRA,4470400,8685000,4214600,102000.0,"[-113.9763855, 50.86435327]",,,"148,399.80",,,21.14338254531978
163,139,406 SHAWNEE SQ SW,2023-03-10,2023,2023-12-22,2023,Townhouse,NORR ARCHITECTS ENGINEERS PLANNERS,NORR ARCHITECTS ENGINEERS PLANNERS,0,6,1341370,SHAWNEE SLOPES,SHS,332000,4551000,4219000,,"[-114.0832925, 50.92187523]",,,"223,561.67",,,13.684517917751945
164,150,2105 6 ST NW,2018-10-19,2018,2020-02-12,2020,Apartment,STONE WEST HOMES,STONE WEST HOMES,0,8,1443073,MOUNT PLEASANT,MOP,1141000,5385500,4244500,78000.0,"[-114.07650179999999, 51.070654485]",,,"180,384.13",,,2.900350030599752
165,126,1540 30 AV SW,2018-08-13,2018,2019-10-23,2019,Townhouse,MEIGA DEVELOPMENT CORPORATION,MEIGA DEVELOPMENT CORPORATION,0,4,1700000,SOUTH CALGARY,SOC,1238500,5720000,4481500,95000.0,"[-114.0968429, 51.02687066]",,,"425,000.00",,,2.6440549027135316
166,8,471 LIVINGSTON WY NE,2022-11-17,2022,2023-12-13,2023,Unspecified,HOMES BY AVI (CANADA),0,HOMES BY AVI (CANADA),18,3147798,LIVINGSTON,LIV,672000,5367000,4695000,,"[-114.04991436666667, 51.186704420000005]",,,"174,877.67",,,15.86081691014058
167,41,846 CORNERSTONE BV NE,2018-06-05,2018,2020-03-12,2020,Townhouse,SHANE HOMES,SHANE HOMES,0,25,5333734,CORNERSTONE,CNS,3985000,8955000,4970000,,"[-113.93777054, 51.152195762000005]",,,"213,349.36",,,15.18181734060167
168,55,1621 CORNERSTONE BV NE,2017-10-12,2017,2018-09-10,2018,Townhouse,JAYMAN BUILT,JAYMAN BUILT,0,21,3569043,CORNERSTONE,CNS,1856000,6974500,5118500,,"[-113.93846255, 51.163345205]",,,"169,954.43",,,16.147122120362347
169,136,#7B 1313B 20 AV NW,2021-07-13,2021,2022-09-28,2022,Townhouse,FORMED ALLIANCE ARCHITECTURE STUDIO,FORMED ALLIANCE ARCHITECTURE STUDIO,0,8,1740706,CAPITOL HILL,CAP,602000,5910000,5308000,71500.0,"[-114.0906781, 51.07041526]",,,"217,588.25",,,3.1433604080556674
170,30,302 32 AV NE,2018-10-17,2018,2023-11-29,2023,Townhouse,STEALTH HOMES,STEALTH HOMES,0,8,2185559,HIGHLAND PARK,HPK,898500,6259500,5361000,70500.0,"[-114.0570878, 51.081623045]",,,"273,194.88",,,4.230277087492342
171,215,#101 408 27 AV NE,2018-04-09,2018,2020-07-21,2020,Townhouse,CLEM LAU ARCHITECTS & DESIGNERS,CLEM LAU ARCHITECTS & DESIGNERS,0,17,3196329,WINSTON HEIGHTS/MOUNTVIEW,WIN,2800000,8339000,5539000,70500.0,"[-114.055071, 51.07706496]",,,"188,019.35",,,3.782260959237881
172,3,116 CREEKSIDE BV SW,2019-10-28,2019,2023-12-13,2023,Townhouse,GRAVITY ARCHITECTURE,GRAVITY ARCHITECTURE,STREETSIDE DEVELOPMENT,16,3500810,PINE CREEK,PCK,1037500,6768000,5730500,,"[-114.05910953333334, 50.86188192333333]",,,"218,800.63",,,20.35182953449103
173,79,1910 48 ST NW,2017-07-10,2017,2023-05-26,2023,Townhouse,JG DESIGN,JG DESIGN,MAGNAT DEVELOPMENTS,16,4109997,MONTGOMERY,MON,1536000,7671500,6135500,71500.0,"[-114.162944575, 51.074350620000004]",,,"256,874.81",,,7.165695892466175
174,163,#101 8485 64 AV NW,2018-11-16,2018,2023-02-10,2023,Townhouse,GRAVITY ARCHITECTURE,GRAVITY ARCHITECTURE,0,32,5170122,SILVER SPRINGS,SIL,4290000,10615500,6325500,111000.0,"[-114.2095282, 51.11065087]",,,"161,566.31",,,12.090922163506342
175,97,315 NOLANCREST HT NW,2017-04-13,2017,2019-05-24,2019,Townhouse,CARDEL LIFESTYLES,CARDEL LIFESTYLES,CARDEL LIFESTYLES,29,5846830,NOLAN HILL,NOL,4004000,10342500,6338500,,"[-114.16776626000001, 51.1749974]",,,"201,614.83",,,15.956631889296805
176,67,1468 CORNERSTONE BV NE,2021-09-25,2021,2023-12-08,2023,Unspecified,0,0,0,16,2789811,CORNERSTONE,CNS,1522500,7963500,6441000,,"[-113.93799689999999, 51.160233446666666]",,,"174,363.19",,,15.885049017704088
177,176,#210 101 PANATELLA SQ NW,2019-05-10,2019,2022-05-06,2022,Townhouse,SEIKA ARCHITECTURE,SEIKA ARCHITECTURE,EAGLE CREST CONSTRUCTION,19,2770000,PANORAMA HILLS,PAN,479000,7035000,6556000,92000.0,"[-114.0711645, 51.16957287]",,,"145,789.47",,,13.881658899968901
178,144,2222 5 ST SW,2021-06-04,2021,2023-07-31,2023,Townhouse,KNIGHTSBRIDGE CUSTOM HOME BUILDERS,KNIGHTSBRIDGE CUSTOM HOME BUILDERS,KNIGHTSBRIDGE CUSTOM HOME BUILDERS,6,1735458,CLIFF BUNGALOW,CLI,758000,7440000,6682000,57600.0,"[-114.0736427, 51.03258709]",,,"289,243.00",,,1.3561686063497427
179,102,#3 4320 BOWNESS RD NW,2018-09-21,2018,2022-08-30,2022,Townhouse,JOHN TRINH & ASSOCIATES,JOHN TRINH & ASSOCIATES,GREEN CEDAR HOMES,16,2944373,MONTGOMERY,MON,1018500,8026000,7007500,71500.0,"[-114.154325775, 51.068317730000004]",,,"184,023.31",,,6.330807278285719
180,201,#308 10060 46 ST NE,2021-10-01,2021,2023-06-06,2023,Townhouse,GRAVITY ARCHITECTURE,GRAVITY ARCHITECTURE,ROHIT COMMUNITIES CALGARY,21,3795768,SADDLE RIDGE,SAD,434000,7527500,7093500,88000.0,"[-113.96447309999999, 51.13577037]",,,"180,750.86",,,12.59950352569362
