class,precision,recall,f1,support
Low ROI,0.4634146341463415,0.5066666666666667,0.4840764331210191,75
Medium ROI,0.4533333333333333,0.4594594594594595,0.4563758389261745,74
High ROI,0.40298507462686567,0.36,0.38028169014084506,75
