class,precision,recall,f1,support
Low ROI,0.45454545454545453,0.4794520547945205,0.4666666666666667,73
Medium ROI,0.48148148148148145,0.3611111111111111,0.4126984126984127,72
High ROI,0.4367816091954023,0.5205479452054794,0.475,73
