model,pooled_test_accuracy,fold_accuracy_mean,fold_accuracy_std,pooled_macro_f1,fold_macro_f1_mean,fold_macro_f1_std,balanced_accuracy,ordinal_mae,severe_error_rate
Majority baseline (real only),0.33482142857142855,0.33484848484848484,0.0033879817840905876,0.16722408026755853,0.1672316384180791,0.0012633152415253057,0.3333333333333333,1.0,0.33482142857142855
scikit RF (real only),0.44642857142857145,0.44585858585858584,0.08481119911880622,0.4460835967685282,0.44401364268004767,0.08430255250196254,0.4464264264264264,0.75,0.19642857142857142
Custom RF (real only),0.42410714285714285,0.4236363636363637,0.06749409992844185,0.4215006550119709,0.41567583665362245,0.06830072418046466,0.42420420420420424,0.7767857142857143,0.20089285714285715
scikit RF (+1200 synthetic),0.39285714285714285,0.39242424242424245,0.05937082969636529,0.3921740615706133,0.38932542923644153,0.05921369364286991,0.3930930930930931,0.7946428571428571,0.1875
Custom RF (+1200 synthetic),0.4017857142857143,0.4014141414141415,0.04911002662211676,0.40124118079903043,0.40343149676412116,0.04773625862308309,0.40180180180180186,0.7901785714285714,0.19196428571428573
