fold,real_train_size,synthetic_train_size,real_test_size,train_accuracy,train_macro_f1,test_accuracy,test_macro_f1
1,179,0,45,0.8435754189944135,0.8433346318966501,0.5111111111111111,0.5102132435465769
2,179,0,45,0.8603351955307262,0.8598326852833745,0.4888888888888889,0.4824534942182001
3,179,0,45,0.8324022346368715,0.8313492063492064,0.4,0.40140774258421313
4,179,0,45,0.8770949720670391,0.8782584988857806,0.5111111111111111,0.5100234828822149
5,180,0,44,0.8388888888888889,0.8384142107512905,0.3181818181818182,0.31597025016903313
