class,precision,recall,f1,support
Low ROI,0.4444444444444444,0.48,0.46153846153846156,75
Medium ROI,0.4583333333333333,0.44594594594594594,0.4520547945205479,74
High ROI,0.43661971830985913,0.41333333333333333,0.4246575342465753,75
