fold,real_train_size,synthetic_train_size,real_test_size,train_accuracy,train_macro_f1,test_accuracy,test_macro_f1
1,174,0,44,0.7241379310344828,0.7237135317966064,0.4318181818181818,0.4055555555555556
2,174,0,44,0.7126436781609196,0.7131071798547612,0.4090909090909091,0.4094771241830066
3,174,0,44,0.735632183908046,0.7361709126858358,0.5454545454545454,0.534973798131693
4,175,0,43,0.6685714285714286,0.6686832022585198,0.3953488372093023,0.39365079365079364
5,175,0,43,0.7257142857142858,0.7229108356657337,0.46511627906976744,0.4628038803179056
