fold,real_train_size,synthetic_train_size,real_test_size,train_accuracy,train_macro_f1,test_accuracy,test_macro_f1
1,179,0,45,0.33519553072625696,0.16736401673640167,0.3333333333333333,0.16666666666666666
2,179,0,45,0.33519553072625696,0.16736401673640167,0.3333333333333333,0.16666666666666666
3,179,0,45,0.33519553072625696,0.16736401673640167,0.3333333333333333,0.16666666666666666
4,179,0,45,0.33519553072625696,0.16736401673640167,0.3333333333333333,0.16666666666666666
5,180,0,44,0.3333333333333333,0.16666666666666666,0.3409090909090909,0.1694915254237288
