class,precision,recall,f1,support
Low ROI,0.39759036144578314,0.44,0.4177215189873418,75
Medium ROI,0.3,0.20270270270270271,0.24193548387096775,74
High ROI,0.38461538461538464,0.4666666666666667,0.42168674698795183,75
