,predicted_Low ROI,predicted_Medium ROI,predicted_High ROI
actual_Low ROI,0.4666666666666667,0.21333333333333335,0.32
actual_Medium ROI,0.2972972972972973,0.3783783783783784,0.32432432432432434
actual_High ROI,0.29333333333333333,0.2,0.5066666666666667
