,predicted_Low ROI,predicted_Medium ROI,predicted_High ROI
actual_Low ROI,0.44,0.24,0.32
actual_Medium ROI,0.36486486486486486,0.20270270270270271,0.43243243243243246
actual_High ROI,0.30666666666666664,0.22666666666666666,0.4666666666666667
