fold,real_train_size,synthetic_train_size,real_test_size,train_accuracy,train_macro_f1,test_accuracy,test_macro_f1
1,174,0,44,0.5862068965517241,0.5832528180354267,0.4772727272727273,0.4627888758323541
2,174,0,44,0.6436781609195402,0.6420011334992388,0.4090909090909091,0.40686274509803927
3,174,0,44,0.5804597701149425,0.5742376915067678,0.4318181818181818,0.43460338680926913
4,175,0,43,0.6457142857142857,0.6460085083508665,0.4418604651162791,0.43292124542124544
5,175,0,43,0.6,0.6009181284771835,0.5116279069767442,0.5114942528735632
