class,precision,recall,f1,support
Low ROI,0.32575757575757575,0.589041095890411,0.4195121951219512,73
Medium ROI,0.0,0.0,0.0,72
High ROI,0.32558139534883723,0.3835616438356164,0.3522012578616352,73
