fold,real_train_size,synthetic_train_size,real_test_size,train_accuracy,train_macro_f1,test_accuracy,test_macro_f1
1,179,0,45,0.48044692737430167,0.47835375075620085,0.4666666666666667,0.454028778836963
2,179,0,45,0.3743016759776536,0.3568204145790353,0.3333333333333333,0.3345238095238095
3,179,0,45,0.3854748603351955,0.38542174961847087,0.35555555555555557,0.3445240111906778
4,179,0,45,0.37988826815642457,0.3810729538352365,0.3111111111111111,0.3066009557945042
5,180,0,44,0.45,0.383335055957346,0.38636363636363635,0.30456349206349204
